question,A,B,C,D,answer
"Ngô Quyền đánh bại quân Nam Hán trên sông Bạch Đằng, chấm dứt 1000 Bắc thuộc vào năm mấy?",936,937,938,939,C
"Chiến dịch Hồ Chí Minh bắt đầu vào lúc nào?",30/4/1975,26/4/1975,7/5/1975,19/8/1975,B
"Nơi nào trong nhà tù Hỏa Lò được thực dân Pháp xây dựng được gọi là ""địa ngục của địa ngục""?",Ngục tối (cachot),Xà lim tử hình,Phòng biệt giam,Trại giam tập thể,A
"Năm 1922, Bác Hồ sản xuất tờ báo gì tại Pháp?",Người nghèo khổ,Người cùng khổ,Những người khốn khổ,Người khổ sở,B
"Quê hương Bác Hồ ở đâu?",Nghệ An,Thanh Hóa,Hà Tĩnh,Quảng Bình,A
"Bác Hồ ra đi tìm đường cứu nước vào năm nào?",1900,1910,1950,1911,D
"Sự ra đời của vương quốc Phù Nam gắn với truyền thuyết nào?",Hỗn Điền—Liễu Diệp,Sơn Tinh—Thủy Tinh,Chử Đồng Tử—Tiên Dung,Mị Châu—Trọng Thủy,A
"Lý Thường Kiệt đã sáng tác bài thơ gì?",Truyện Kiều,Nam Quốc Sơn Hà,Hịch Tướng sĩ,Nhật Ký trong tù,B
"Nước Phù Nam ra đời và thế kỉ mấy?",Thế kỉ I,Thế kỉ II,Thế kỉ III,Thế kỉ IV,A
"Năm 542, Lý Bí lãnh đạo nhân dân khởi nghĩa chống lại ách đô hộ của nhà gì?",Nhà Ngô,Nhà Lương,Nhà Đường,Nhà Hán,B
"Việt Nam có bao nhiêu dân tộc?",1,2,63,54,D
"Triều Nguyễn được lập ra vào năm nào?",1527,1802,1778,1858,B
"Quân dân ta đã đánh bại giặc Mông-Nguyên bao nhiêu lần?",1,2,3,4,C
"Vị vua đầu tiên của triều Nguyễn là ai?",Gia Long,Bảo Đại,Minh Mạng,Tự Đức,A